,day_of_year,std_max,std_min
278,10-05,4.84896201951167,4.990529263849012
279,10-06,5.288911419186378,4.677867320335914
280,10-07,5.8407156524978525,5.1381192084263665
281,10-08,4.86684315890014,5.147494762827177
282,10-09,4.710859511101288,4.873602466348696
283,10-10,4.764290188475084,4.70495217829044
284,10-11,4.781226899726325,5.084096117633233
285,10-12,4.086016111895123,5.567015148772882
286,10-13,5.214363559758108,4.871352036823732
287,10-14,5.37603004083869,4.677251258306878
288,10-15,4.5602772942004295,4.515408877757725
289,10-16,5.244868031387129,4.989923279303322
290,10-17,4.9663677203096155,4.889504167090966
291,10-18,4.926312413966451,4.171049308427478
292,10-19,5.406693382589139,4.865730058274906
293,10-20,5.2285665658317235,4.416899100802139
294,10-21,5.209168743667263,4.632729505018253
295,10-22,5.3765079125147155,5.105381148030636
296,10-23,6.456019103647889,5.326786805069904
297,10-24,5.667370877811584,5.747395149108851
298,10-25,5.351927129548752,4.972700037873432
299,10-26,5.309185373796379,5.417328677494092
300,10-27,5.553997569318886,5.260484198246405
301,10-28,5.098829506203692,5.297248594002993
302,10-29,5.762941320772464,5.863061998648834
303,10-30,6.227704231897976,3.4324013459966976
304,10-31,6.039096317606918,5.409442577567478
305,11-01,5.439785902649727,5.940796327092843
306,11-02,7.160342938714596,6.439022907242991
307,11-03,7.889021020802686,6.300999709040883
308,11-04,6.8329631688358194,6.002025408143492
309,11-05,5.718562610773221,4.369794159911893
310,11-06,6.002192571608018,4.0638408761498805
311,11-07,6.255228426417909,5.277196604258735
312,11-08,6.19297715158065,5.264324014850642
313,11-09,5.861760173645219,5.410190323207983
314,11-10,5.444009613021143,4.1355690055904
315,11-11,6.20978389318019,5.280503511345602
316,11-12,5.821466968614241,4.166561332001891
317,11-13,8.07616550928306,5.6620646116647775
318,11-14,6.345639579007524,5.527368964223997
319,11-15,5.759152078793083,4.587934284620925
320,11-16,5.4938153712455,4.956094665493529
321,11-17,5.24055493244751,5.144856395793122
322,11-18,5.543968945319466,5.727173473887445
323,11-19,4.370048512316538,5.38325511811085
324,11-20,5.810988814306898,5.658713281303435
325,11-21,5.220736953087508,5.629274612831277
326,11-22,5.199513182340572,4.722802910701781
327,11-23,4.296940772223902,3.930279761034829
328,11-24,5.1254908057668,4.105968135937402
329,11-25,5.389821332845825,4.023863939051626
330,11-26,6.188025344701384,4.615574648224573
331,11-27,6.660416653633621,4.545943246456123
332,11-28,5.44375522961861,3.8637837672416433
333,11-29,5.15091878535601,5.321413095535179
334,11-30,4.271249700029248,3.7424102304976268
335,12-01,4.423476460884589,4.544732738750062
336,12-02,6.487597988983797,5.695735978197492
337,12-03,7.1767352837716745,6.561841713015221
338,12-04,6.843204342021821,6.398101202700684
339,12-05,7.156041154157792,5.374493557536382
340,12-06,7.052440664999129,6.040387322018348
341,12-07,4.881270087453333,5.1545756372372695
342,12-08,5.2050448284973205,3.8857473755593883
343,12-09,5.641467391852351,4.8368489398229775
344,12-10,5.113377976771643,4.517192158852664
345,12-11,5.293665648678612,4.484690550454212
346,12-12,6.932379173126629,5.745794113958476
347,12-13,4.56171393228467,5.316634493110598
348,12-14,5.708823346364819,5.584815723608669
349,12-15,5.736162131599825,5.433630615589058
350,12-16,5.796260662415632,6.468011982054464
